Cycle,PC,Instr,Stage,Op,Fct3,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,MemRd,MemWr,WBSel,Branch,FwdA,FwdB
0,0x0000,0x00000000,---,0x00,0,0,0,0,0,False,False,False,False,0,False,,
1,0x0000,0x00052383,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
2,0x0004,0x00300293,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
2,0x0000,0x00052383,ID,0x03,2,7,10,0,0,True,True,True,False,1,False,,
3,0x0008,0x0003a303,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
3,0x0004,0x00300293,ID,0x13,0,5,0,3,3,True,True,False,False,0,False,,
3,0x0000,0x00052383,EX,0x03,2,7,10,0,0,True,True,True,False,1,False,,
4,0x000c,0x00130313,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
4,0x0008,0x0003a303,ID,0x03,2,6,7,0,0,True,True,True,False,1,False,MEM,
4,0x0004,0x00300293,EX,0x13,0,5,0,3,3,True,True,False,False,0,False,,
4,0x0000,0x00052383,MEM,0x03,2,7,10,0,0,True,True,True,False,1,False,,
5,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
5,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
5,0x0008,0x0003a303,EX,0x03,2,6,7,0,0,True,True,True,False,1,False,MEM,
5,0x0004,0x00300293,MEM,0x13,0,5,0,3,3,True,True,False,False,0,False,,
6,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
6,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
6,0x0008,0x0003a303,MEM,0x03,2,6,7,0,0,True,True,True,False,1,False,MEM,
7,0x0014,0x00438393,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
7,0x0010,0x0003a023,ID,0x23,2,0,7,0,0,False,True,False,True,0,False,,
7,0x000c,0x00130313,EX,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
8,0x0018,0xfff28293,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
8,0x0014,0x00438393,ID,0x13,0,7,7,4,4,True,True,False,False,0,False,,
8,0x0010,0x0003a023,EX,0x23,2,0,7,0,0,False,True,False,True,0,False,,
8,0x000c,0x00130313,MEM,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
9,0x001c,0xfe0296e3,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
9,0x0018,0xfff28293,ID,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
9,0x0014,0x00438393,EX,0x13,0,7,7,4,4,True,True,False,False,0,False,,
9,0x0010,0x0003a023,MEM,0x23,2,0,7,0,0,False,True,False,True,0,False,,
10,0x001c,0xfe0296e3,ID,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
10,0x0018,0xfff28293,EX,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
10,0x0014,0x00438393,MEM,0x13,0,7,7,4,4,True,True,False,False,0,False,,
11,0x001c,0xfe0296e3,EX,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
11,0x0018,0xfff28293,MEM,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
12,0x001c,0xfe0296e3,MEM,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
13,0x0008,0x0003a303,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
14,0x000c,0x00130313,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
14,0x0008,0x0003a303,ID,0x03,2,6,7,0,0,True,True,True,False,1,False,,
15,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
15,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
15,0x0008,0x0003a303,EX,0x03,2,6,7,0,0,True,True,True,False,1,False,,
16,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
16,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
16,0x0008,0x0003a303,MEM,0x03,2,6,7,0,0,True,True,True,False,1,False,,
17,0x0014,0x00438393,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
17,0x0010,0x0003a023,ID,0x23,2,0,7,0,0,False,True,False,True,0,False,,
17,0x000c,0x00130313,EX,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
18,0x0018,0xfff28293,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
18,0x0014,0x00438393,ID,0x13,0,7,7,4,4,True,True,False,False,0,False,,
18,0x0010,0x0003a023,EX,0x23,2,0,7,0,0,False,True,False,True,0,False,,
18,0x000c,0x00130313,MEM,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
19,0x001c,0xfe0296e3,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
19,0x0018,0xfff28293,ID,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
19,0x0014,0x00438393,EX,0x13,0,7,7,4,4,True,True,False,False,0,False,,
19,0x0010,0x0003a023,MEM,0x23,2,0,7,0,0,False,True,False,True,0,False,,
20,0x001c,0xfe0296e3,ID,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
20,0x0018,0xfff28293,EX,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
20,0x0014,0x00438393,MEM,0x13,0,7,7,4,4,True,True,False,False,0,False,,
21,0x001c,0xfe0296e3,EX,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
21,0x0018,0xfff28293,MEM,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
22,0x001c,0xfe0296e3,MEM,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
23,0x0008,0x0003a303,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
24,0x000c,0x00130313,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
24,0x0008,0x0003a303,ID,0x03,2,6,7,0,0,True,True,True,False,1,False,,
25,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
25,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
25,0x0008,0x0003a303,EX,0x03,2,6,7,0,0,True,True,True,False,1,False,,
26,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
26,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
26,0x0008,0x0003a303,MEM,0x03,2,6,7,0,0,True,True,True,False,1,False,,
27,0x0014,0x00438393,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
27,0x0010,0x0003a023,ID,0x23,2,0,7,0,0,False,True,False,True,0,False,,
27,0x000c,0x00130313,EX,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
28,0x0018,0xfff28293,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
28,0x0014,0x00438393,ID,0x13,0,7,7,4,4,True,True,False,False,0,False,,
28,0x0010,0x0003a023,EX,0x23,2,0,7,0,0,False,True,False,True,0,False,,
28,0x000c,0x00130313,MEM,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
29,0x001c,0xfe0296e3,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
29,0x0018,0xfff28293,ID,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
29,0x0014,0x00438393,EX,0x13,0,7,7,4,4,True,True,False,False,0,False,,
29,0x0010,0x0003a023,MEM,0x23,2,0,7,0,0,False,True,False,True,0,False,,
30,0x001c,0xfe0296e3,ID,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
30,0x0018,0xfff28293,EX,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
30,0x0014,0x00438393,MEM,0x13,0,7,7,4,4,True,True,False,False,0,False,,
31,0x001c,0xfe0296e3,EX,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
31,0x0018,0xfff28293,MEM,0x13,0,5,5,31,-1,True,True,False,False,0,False,,
32,0x001c,0xfe0296e3,MEM,0x63,1,13,5,0,-20,False,False,False,False,0,True,EX,
33,0x0008,0x0003a303,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
34,0x000c,0x00130313,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
34,0x0008,0x0003a303,ID,0x03,2,6,7,0,0,True,True,True,False,1,False,,
35,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
35,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
35,0x0008,0x0003a303,EX,0x03,2,6,7,0,0,True,True,True,False,1,False,,
36,0x0010,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
36,0x000c,0x00130313,ID,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
36,0x0008,0x0003a303,MEM,0x03,2,6,7,0,0,True,True,True,False,1,False,,
37,0x0014,0x00438393,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
37,0x0010,0x0003a023,ID,0x23,2,0,7,0,0,False,True,False,True,0,False,,
37,0x000c,0x00130313,EX,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
38,0x0018,0xfff28293,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
38,0x0014,0x00438393,ID,0x13,0,7,7,4,4,True,True,False,False,0,False,,
38,0x0010,0x0003a023,EX,0x23,2,0,7,0,0,False,True,False,True,0,False,,
38,0x000c,0x00130313,MEM,0x13,0,6,6,1,1,True,True,False,False,0,False,EX,
39,0x001c,0xfe0296e3,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
