Cycle,PC,Instr,Stage,Op,Fct3,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,MemRd,MemWr,WBSel,Branch,FwdA,FwdB
0,0x0000,0x00000000,---,0x00,0,0,0,0,0,False,False,False,False,0,False,,
1,0x0000,0x00052383,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
2,0x0004,0x0043a303,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
2,0x0000,0x00052383,ID,0x03,2,7,10,0,0,True,True,True,False,1,False,,
3,0x0008,0x00130413,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
3,0x0004,0x0043a303,ID,0x03,2,6,7,4,4,True,True,True,False,1,False,EX,
3,0x0000,0x00052383,EX,0x03,2,7,10,0,0,True,True,True,False,1,False,,
4,0x0008,0x00130413,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
4,0x0004,0x0043a303,ID,0x03,2,6,7,4,4,True,True,True,False,1,False,EX,
4,0x0000,0x00052383,MEM,0x03,2,7,10,0,0,True,True,True,False,1,False,,
5,0x000c,0x407404b3,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
5,0x0008,0x00130413,ID,0x13,0,8,6,1,1,True,True,False,False,0,False,EX,
5,0x0004,0x0043a303,EX,0x03,2,6,7,4,4,True,True,True,False,1,False,EX,
6,0x000c,0x407404b3,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
6,0x0008,0x00130413,ID,0x13,0,8,6,1,1,True,True,False,False,0,False,EX,
6,0x0004,0x0043a303,MEM,0x03,2,6,7,4,4,True,True,True,False,1,False,EX,
7,0x0010,0x0003a423,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
7,0x000c,0x407404b3,ID,0x33,0,9,8,7,0,True,False,False,False,0,False,EX,
7,0x0008,0x00130413,EX,0x13,0,8,6,1,1,True,True,False,False,0,False,EX,
8,0x0010,0x0003a423,ID,0x23,2,8,7,0,8,False,True,False,True,0,False,,
8,0x000c,0x407404b3,EX,0x33,0,9,8,7,0,True,False,False,False,0,False,EX,
8,0x0008,0x00130413,MEM,0x13,0,8,6,1,1,True,True,False,False,0,False,EX,
9,0x0010,0x0003a423,EX,0x23,2,8,7,0,8,False,True,False,True,0,False,,
9,0x000c,0x407404b3,MEM,0x33,0,9,8,7,0,True,False,False,False,0,False,EX,
10,0x0010,0x0003a423,MEM,0x23,2,8,7,0,8,False,True,False,True,0,False,,
